Name,Position,DOB,Nationality,Kit Number
Mattia Perin,Goalkeeper,"Nov 10, 1992 (26)",Italy,37
Wojciech Szczęsny,Goalkeeper,"Apr 18, 1990 (31)",Poland,1
Gianluigi Buffon,Goalkeeper,"Jan 28, 1978 (43)",Italy,77
Leonardo Bonucci,Defender,"May 1, 1987 (34)",Italy,19
Giorgio Chiellini,Defender,"Aug 14, 1984 (37)",Italy,3
Matthijs de Ligt,Defender,"Aug 12, 1999 (22)",Netherlands,4
Alex Sandro,Defender,"Jan 26, 1991 (30)",Brazil,12
Danilo,Defender,"Jul 15, 1991 (30)",Brazil,13
Juan Cuadrado,Midfielder,"May 26, 1988 (33)",Colombia,16
Rodrigo Bentancur,Midfielder,"Jun 25, 1997 (24)",Uruguay,30
Aaron Ramsey,Midfielder,"Dec 26, 1990 (31)",Wales,8
Adrien Rabiot,Midfielder,"Apr 3, 1995 (26)",France,25
Arthur,Midfielder,"Aug 12, 1996 (25)",Brazil,5
Weston McKennie,Midfielder,"Aug 28, 1998 (23)",USA,14
Federico Bernardeschi,Forward,"Feb 16, 1994 (27)",Italy,20
Paulo Dybala,Forward,"Nov 15, 1993 (28)",Argentina,10
Cristiano Ronaldo,Forward,"Feb 5, 1985 (36)",Portugal,7
Alvaro Morata,Forward,"Oct 23, 1992 (29)",Spain,9
Dejan Kulusevski,Forward,"Apr 25, 2000 (21)",Sweden,44
Federico Chiesa,Forward,"Oct 25, 1997 (24)",Italy,22
Merih Demiral,Defender,"Mar 5, 1998 (23)",Turkey,28
Merih Demiral,Defender,"Mar 5, 1998 (23)",Turkey,28
Luca Pellegrini,Defender,"Mar 7, 1999 (22)",Italy,33
